id,old_tags,new_tags,changed
175,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
176,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
177,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
178,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
179,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
180,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
181,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
182,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
183,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
184,"[""IDX"", ""Bearish"", ""insider-trading"", ""Debt Payment"", ""Ownership Changes""]",[],True
185,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
199,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
200,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
201,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
202,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
204,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
205,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
206,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
207,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
208,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
209,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
210,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
211,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
212,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
213,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
214,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
215,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
216,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
217,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
218,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
219,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
220,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
221,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
222,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
223,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
224,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
225,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
226,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
227,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
228,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
229,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
230,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
231,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
232,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
233,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
234,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
235,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
236,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
237,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
238,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
239,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
240,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
241,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
242,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
243,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
244,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
246,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
250,"[""IDX"", ""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
251,"[""IDX"", ""Bearish"", ""insider-trading"", ""Shares Consolidation"", ""Ownership Changes""]",[],True
252,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
253,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
254,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
255,"[""IDX"", ""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
256,"[""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
257,"[""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
258,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
259,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
260,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
261,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
262,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
263,"[""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes"", ""Takeover""]","[""divestment""]",True
264,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes"", ""Takeover""]","[""investment""]",True
265,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
266,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
267,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
268,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
269,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
270,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
271,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
272,"[""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
273,"[""insider-trading"", ""IDX"", ""Ownership Changes"", ""Bullish""]",[],True
274,"[""insider-trading"", ""IDX"", ""Ownership Changes"", ""Bullish""]",[],True
275,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
276,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
277,"[""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
278,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
281,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
283,"[""insider-trading"", ""IDX"", ""Ownership Changes"", ""Bearish"", ""\""IDX\"""", ""\""Ownership Changes\"""", ""\""Bearish\""]""]",[],True
284,"[""insider-trading"", ""IDX"", ""Ownership Changes"", ""Bearish""]",[],True
285,"[""insider-trading"", ""IDX"", ""Ownership Changes"", ""Bullish""]",[],True
286,"[""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
314,"[""Ownership Changes"", ""Succession"", ""insider-trading""]","[""bearish""]",True
315,"[""Ownership Changes"", ""Succession"", ""insider-trading""]","[""bullish"", ""takeover""]",True
332,"[""Bullish"", ""insider-trading"", ""Investment"", ""Ownership Changes""]","[""investment""]",True
343,"[""Bearish"", ""insider-trading"", ""Divestment"", ""Ownership Changes""]","[""divestment""]",True
369,"[""insider-trading"", ""IDX"", ""Ownership Changes"", ""Bearish""]","[""bullish""]",True
377,"[""insider-trading""]","[""bullish""]",True
530,"[""Bearish"", ""Divestment"", ""Ownership Change"", ""Insider Trading"", ""Takeover""]","[""bearish"", ""divestment""]",True
537,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
538,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
550,"[""Bearish"", ""Divestment"", ""Ownership Change"", ""Insider Trading""]","[""divestment""]",True
587,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
598,"[""Bearish"", ""Divestment"", ""Ownership Change"", ""Insider Trading"", ""Takeover""]","[""bearish"", ""divestment""]",True
604,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
611,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
617,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
622,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
624,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
625,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
632,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
640,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
649,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
651,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
655,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
661,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
662,"[""Bearish"", ""Divestment"", ""Ownership Change"", ""Insider Trading""]","[""divestment""]",True
667,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
697,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
698,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
700,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
703,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
717,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
718,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
719,"[""Bullish"", ""Investment"", ""Ownership Change"", ""Insider Trading""]","[""investment""]",True
